Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Mail-in_ballots,Mail-in_votes,Mail-in_under_votes,Mail-in_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Provisional_ballots,Provisional_votes,Provisional_under_votes,Provisional_over_votes
Bridgeport 3,,1,0,6,6,953,0.8,4,4,State Treasurer,,1,16,JOE TORSELLA,C,15,DEM,761,479,18,0,505,273,16,0,254,205,2,0,0,0,0,0,2,1,0,0
Bridgeport 3,,1,0,6,6,953,0.8,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,761,235,18,0,505,201,16,0,254,33,2,0,0,0,0,0,2,1,0,0
Bridgeport 3,,1,0,6,6,953,0.8,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,761,17,18,0,505,11,16,0,254,6,2,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,761,12,18,0,505,4,16,0,254,8,2,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,6,6,Representative in Congress 4th District,,1,24,MADELEINE DEAN,C,23,DEM,761,496,15,1,505,278,14,0,254,217,1,1,0,0,0,0,2,1,0,0
Bridgeport 3,,1,0,6,6,953,0.8,6,6,Representative in Congress 4th District,,1,25,KATHY BARNETTE,C,24,REP,761,249,15,1,505,213,14,0,254,35,1,1,0,0,0,0,2,1,0,0
Bridgeport 3,,1,0,6,6,953,0.8,9,9,Senator in the General Assembly 17th District,,1,32,AMANDA M CAPPELLETTI,C,31,DEM,761,486,20,0,505,275,16,0,254,209,4,0,0,0,0,0,2,2,0,0
Bridgeport 3,,1,0,6,6,953,0.8,9,9,Senator in the General Assembly 17th District,,1,33,ELLEN FISHER,C,32,REP,761,255,20,0,505,214,16,0,254,41,4,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,18,18,Representative in the General Assembly 149th District,,1,60,TIM BRIGGS,C,59,DEM,761,525,12,0,505,303,11,0,254,221,1,0,0,0,0,0,2,1,0,0
Bridgeport 3,,1,0,6,6,953,0.8,18,18,Representative in the General Assembly 149th District,,1,61,WILLIAM MICHAEL,C,60,REP,761,224,12,0,505,191,11,0,254,32,1,0,0,0,0,0,2,1,0,0
